crop_filename,source_image,x1,y1,x2,y2,confidence,bg_level,category,Notes,suggested_category,suggested_from,suggested_notes,Notes
crop_0001_trinity-2_20230901T183423_DSC04364_conf0.79.jpg,trinity-2_20230901T183423_DSC04364.JPG,7295,1404,7361,1478,0.792,5bg,B,,B,/mnt/user-data/uploads/10bg (dist=7px),,
crop_0002_trinity-2_20231006T165315_DSC04596_conf0.86.jpg,trinity-2_20231006T165315_DSC04596.JPG,1772,4498,1833,4533,0.864,5bg,Oc,Jelly,Oc,/mnt/user-data/uploads/10bg (dist=3px),Jelly,
crop_0003_trinity-2_20240702T162557_Seacliff_DSC01327_conf0.92.jpg,trinity-2_20240702T162557_Seacliff_DSC01327.JPG,2401,4498,2629,4717,0.918,5bg,Kf,,Kf,/mnt/user-data/uploads/10bg (dist=61px),,
crop_0004_trinity-2_20231006T165315_DSC04578_conf0.77.jpg,trinity-2_20231006T165315_DSC04578.JPG,159,3934,214,3989,0.770,5bg,Oc,,O,/mnt/user-data/uploads/0bg (dist=3px),,
crop_0005_trinity-2_20240820T233850_NewBrighton_DSC01706_conf0.79.jpg,trinity-2_20240820T233850_NewBrighton_DSC01706.JPG,1402,2905,1438,2967,0.790,5bg,S,Boat Shadow,,,,
crop_0006_trinity-2_20231006T165315_DSC04433_conf0.60.jpg,trinity-2_20231006T165315_DSC04433.JPG,7705,3938,7797,4132,0.596,5bg,Oc,Buoy,Oc,/mnt/user-data/uploads/10bg (dist=9px),Buoy,
crop_0007_trinity-2_20240820T233850_NewBrighton_DSC01608_conf0.91.jpg,trinity-2_20240820T233850_NewBrighton_DSC01608.JPG,6149,4116,6259,4294,0.907,5bg,S,,S,/mnt/user-data/uploads/0bg (dist=3px),,
crop_0008_trinity-2_20231006T165315_DSC04560_conf0.84.jpg,trinity-2_20231006T165315_DSC04560.JPG,3277,1576,3341,1601,0.841,5bg,Oc,Jelly,Oc,/mnt/user-data/uploads/20bg (dist=1px),Jelly,
crop_0009_trinity-2_20230901T183423_DSC04378_conf0.61.jpg,trinity-2_20230901T183423_DSC04378.JPG,4509,1384,4554,1438,0.615,5bg,Od,,,,,
crop_0010_trinity-2_20230901T183423_DSC04350_conf0.67.jpg,trinity-2_20230901T183423_DSC04350.JPG,4402,1164,4518,1312,0.674,5bg,B,,B,/mnt/user-data/uploads/0bg (dist=23px),,
crop_0011_trinity-2_20240702T162557_Seacliff_DSC01425_conf0.65.jpg,trinity-2_20240702T162557_Seacliff_DSC01425.JPG,468,5041,523,5063,0.647,5bg,Od,Kelp,Od,/mnt/user-data/uploads/10bg (dist=2px),Kelp?,
crop_0012_trinity-2_20240702T162557_Seacliff_DSC01327_conf0.69.jpg,trinity-2_20240702T162557_Seacliff_DSC01327.JPG,540,3239,576,3375,0.686,5bg,Kf,,K,/mnt/user-data/uploads/0bg (dist=2px),,
crop_0013_trinity-2_20250521T004432_Seacliff_DSC02210_conf0.86.jpg,trinity-2_20250521T004432_Seacliff_DSC02210.JPG,6718,4872,7006,5160,0.858,5bg,G,,G,/mnt/user-data/uploads/20bg (dist=0px),,
crop_0014_trinity-2_20250319T165348_Davenport_DSC01836_conf0.68.jpg,trinity-2_20250319T165348_Davenport_DSC01836.JPG,1461,4685,1548,4713,0.676,5bg,F,,,,,
crop_0015_trinity-2_20240703T153256_Seymour_DSC01266_conf0.69.jpg,trinity-2_20240703T153256_Seymour_DSC01266.JPG,7173,1709,7260,1788,0.687,5bg,Kf,,K,/mnt/user-data/uploads/0bg (dist=42px),,
crop_0016_trinity-2_20230901T183423_DSC04534_conf0.56.jpg,trinity-2_20230901T183423_DSC04534.JPG,5664,107,5686,128,0.557,5bg,W,,,,,
crop_0017_trinity-2_20250521T004432_Seacliff_DSC02025_conf0.59.jpg,trinity-2_20250521T004432_Seacliff_DSC02025.JPG,6718,4643,7005,4930,0.595,5bg,G,,G,/mnt/user-data/uploads/20bg (dist=1px),,
crop_0018_trinity-2_20241021T184730_MossLanding_DSC01818_conf0.63.jpg,trinity-2_20241021T184730_MossLanding_DSC01818.JPG,7654,3151,7697,3200,0.633,5bg,B,,B,/mnt/user-data/uploads/20bg (dist=1px),,
crop_0019_trinity-2_20231006T165315_DSC04461_conf0.62.jpg,trinity-2_20231006T165315_DSC04461.JPG,1352,4984,1419,5042,0.624,5bg,Oc,,,,,
crop_0020_trinity-2_20240809T233952_NewBrighton_DSC01418_conf0.60.jpg,trinity-2_20240809T233952_NewBrighton_DSC01418.JPG,2505,4570,2672,4672,0.603,5bg,W,,,,,
crop_0021_trinity-2_20230901T183423_DSC04553_conf0.73.jpg,trinity-2_20230901T183423_DSC04553.JPG,6921,3656,6999,3679,0.734,5bg,B,,B,/mnt/user-data/uploads/10bg (dist=2px),,
crop_0022_trinity-2_20240703T164523_Davenport_DSC01436_conf0.55.jpg,trinity-2_20240703T164523_Davenport_DSC01436.JPG,3165,3255,3260,3388,0.555,5bg,Od,,E,/mnt/user-data/uploads/0bg (dist=50px),,
crop_0023_trinity-2_20230901T183423_DSC04553_conf0.66.jpg,trinity-2_20230901T183423_DSC04553.JPG,5532,2353,5581,2413,0.655,5bg,W,,,,,
crop_0024_trinity-2_20240809T233952_NewBrighton_DSC01705_conf0.71.jpg,trinity-2_20240809T233952_NewBrighton_DSC01705.JPG,7327,5273,7446,5294,0.706,5bg,Oc,,,,,
crop_0025_trinity-2_20240820T160209_Seymour_DSC01785_conf0.82.jpg,trinity-2_20240820T160209_Seymour_DSC01785.JPG,6153,864,6224,903,0.821,5bg,B,,B,/mnt/user-data/uploads/20bg (dist=2px),,
crop_0026_trinity-2_20241021T184730_MossLanding_DSC01928_conf0.66.jpg,trinity-2_20241021T184730_MossLanding_DSC01928.JPG,3358,4663,3468,4706,0.663,5bg,B,,B,/mnt/user-data/uploads/10bg (dist=5px),,
crop_0027_trinity-2_20240621T153337_Seymour_DSC01245_conf0.69.jpg,trinity-2_20240621T153337_Seymour_DSC01245.JPG,6921,697,7194,873,0.694,5bg,W,,,,,
crop_0028_trinity-2_20250521T004432_Seacliff_DSC01922_conf0.66.jpg,trinity-2_20250521T004432_Seacliff_DSC01922.JPG,217,2482,335,2581,0.664,5bg,W,,,,,
crop_0029_trinity-2_20250509T160658_Davenport_DSC01555_conf0.61.jpg,trinity-2_20250509T160658_Davenport_DSC01555.JPG,1958,3623,2021,3699,0.611,5bg,Od,,E,/mnt/user-data/uploads/0bg (dist=11px),,
crop_0030_trinity-2_20250116T191800_Davenport_DSC01679_conf0.50.jpg,trinity-2_20250116T191800_Davenport_DSC01679.JPG,5243,623,5415,758,0.504,5bg,F,,,,,
crop_0031_trinity-2_20230901T183423_DSC04420_conf0.68.jpg,trinity-2_20230901T183423_DSC04420.JPG,5653,2356,5729,2552,0.675,5bg,W,,W,/mnt/user-data/uploads/20bg (dist=2px),Shadow?,
crop_0032_trinity-2_20250520T160528_Seacliff_DSC01770_conf0.67.jpg,trinity-2_20250520T160528_Seacliff_DSC01770.JPG,3471,3001,3489,3047,0.670,5bg,B,,B,/mnt/user-data/uploads/0bg (dist=2px),,
crop_0033_trinity-2_20250521T004432_Seacliff_DSC02210_conf0.77.jpg,trinity-2_20250521T004432_Seacliff_DSC02210.JPG,1021,5023,1189,5126,0.772,5bg,G,,,,,
crop_0034_trinity-2_20250509T160658_Davenport_DSC01555_conf0.62.jpg,trinity-2_20250509T160658_Davenport_DSC01555.JPG,4796,3009,4830,3042,0.619,5bg,Od,,Od,/mnt/user-data/uploads/10bg (dist=1px),Submerged kelp,
crop_0035_trinity-2_20231109T191204_DSC05552_conf0.54.jpg,trinity-2_20231109T191204_DSC05552.JPG,145,1183,432,1470,0.541,5bg,G,,,,,
crop_0036_trinity-2_20240621T153337_Seymour_DSC01245_conf0.64.jpg,trinity-2_20240621T153337_Seymour_DSC01245.JPG,7136,4395,7253,4581,0.641,5bg,W,,,,,
crop_0037_trinity-2_20241219T193922_Monterey_DSC01580_conf0.71.jpg,trinity-2_20241219T193922_Monterey_DSC01580.JPG,7466,772,7746,872,0.709,5bg,Kf,,Kf,/mnt/user-data/uploads/10bg (dist=19px),,
crop_0038_trinity-2_20240820T233850_NewBrighton_DSC01607_conf0.78.jpg,trinity-2_20240820T233850_NewBrighton_DSC01607.JPG,554,1152,773,1229,0.781,5bg,B,,B,/mnt/user-data/uploads/0bg (dist=9px),,
crop_0039_trinity-2_20240808T171312_Davenport_DSC01440_conf0.52.jpg,trinity-2_20240808T171312_Davenport_DSC01440.JPG,957,53,1024,103,0.519,5bg,W,,,,,
crop_0040_trinity-2_20241021T184730_MossLanding_DSC01708_conf0.58.jpg,trinity-2_20241021T184730_MossLanding_DSC01708.JPG,5956,1563,6033,1597,0.582,5bg,Kf,,,,,
