20bg_manifest
crop_filename,source_image,x1,y1,x2,y2,confidence,bg_level,category,Notes
crop_0001_trinity-1_20230607T194614_DSC00188_conf0.79.jpg,trinity-1_20230607T194614_DSC00188.JPG,7477,3927,7580,4054,0.785,20bg,O,Buoy
crop_0002_trinity-2_20230504T162921_DSC01934_conf0.61.jpg,trinity-2_20230504T162921_DSC01934.JPG,3960,2559,4010,2796,0.613,20bg,O,Buoy
crop_0003_trinity-2_20230901T183423_DSC04350_conf0.57.jpg,trinity-2_20230901T183423_DSC04350.JPG,2235,3586,2282,3655,0.570,20bg,O,Pinniped
crop_0004_trinity-2_20230901T183423_DSC04350_conf0.76.jpg,trinity-2_20230901T183423_DSC04350.JPG,1730,873,1756,926,0.762,20bg,B,
crop_0005_trinity-2_20230901T183423_DSC04350_conf0.61.jpg,trinity-2_20230901T183423_DSC04350.JPG,6426,1246,6447,1307,0.606,20bg,B,
crop_0006_trinity-2_20230901T183423_DSC04350_conf0.55.jpg,trinity-2_20230901T183423_DSC04350.JPG,6404,1247,6498,1261,0.550,20bg,B,
crop_0007_trinity-2_20230901T183423_DSC04350_conf0.75.jpg,trinity-2_20230901T183423_DSC04350.JPG,2330,3313,2400,3333,0.755,20bg,O,Pinniped
crop_0008_trinity-2_20230901T183423_DSC04364_conf0.88.jpg,trinity-2_20230901T183423_DSC04364.JPG,6392,4561,6436,4626,0.881,20bg,B,
crop_0009_trinity-2_20230901T183423_DSC04364_conf0.76.jpg,trinity-2_20230901T183423_DSC04364.JPG,4624,381,4663,442,0.761,20bg,B,
crop_0010_trinity-2_20230901T183423_DSC04364_conf0.58.jpg,trinity-2_20230901T183423_DSC04364.JPG,2944,4966,2979,5045,0.577,20bg,B,
crop_0011_trinity-2_20230901T183423_DSC04364_conf0.76.jpg,trinity-2_20230901T183423_DSC04364.JPG,7425,1730,7473,1838,0.762,20bg,B,
crop_0012_trinity-2_20230901T183423_DSC04364_conf0.77.jpg,trinity-2_20230901T183423_DSC04364.JPG,4296,1935,4331,1951,0.771,20bg,B,
crop_0013_trinity-2_20230901T183423_DSC04420_conf0.87.jpg,trinity-2_20230901T183423_DSC04420.JPG,5616,2345,5774,2549,0.871,20bg,W,Shadow?
crop_0014_trinity-2_20230901T183423_DSC04420_conf0.78.jpg,trinity-2_20230901T183423_DSC04420.JPG,3278,1384,3321,1496,0.780,20bg,B,
crop_0015_trinity-2_20230901T183423_DSC04420_conf0.72.jpg,trinity-2_20230901T183423_DSC04420.JPG,5653,2352,5729,2552,0.721,20bg,W,Shadow?
crop_0016_trinity-2_20230901T183423_DSC04420_conf0.69.jpg,trinity-2_20230901T183423_DSC04420.JPG,4844,1826,4876,1870,0.693,20bg,Od,
crop_0017_trinity-2_20230901T183423_DSC04444_conf0.77.jpg,trinity-2_20230901T183423_DSC04444.JPG,6742,2768,6784,2800,0.771,20bg,B,
crop_0018_trinity-2_20230901T183423_DSC04534_conf0.56.jpg,trinity-2_20230901T183423_DSC04534.JPG,7257,2244,7387,2353,0.556,20bg,E,
crop_0019_trinity-2_20230901T183423_DSC04553_conf0.67.jpg,trinity-2_20230901T183423_DSC04553.JPG,6916,3657,6995,3679,0.670,20bg,B,
crop_0020_trinity-2_20230901T183423_DSC04593_conf0.51.jpg,trinity-2_20230901T183423_DSC04593.JPG,5536,1922,5569,1947,0.505,20bg,B,
crop_0021_trinity-2_20230901T183423_DSC04593_conf0.64.jpg,trinity-2_20230901T183423_DSC04593.JPG,6741,83,6807,139,0.640,20bg,B,
crop_0022_trinity-2_20230901T183423_DSC04593_conf0.58.jpg,trinity-2_20230901T183423_DSC04593.JPG,6020,3997,6079,4023,0.583,20bg,Kf,
crop_0023_trinity-2_20230901T183423_DSC04593_conf0.83.jpg,trinity-2_20230901T183423_DSC04593.JPG,7281,4854,7359,4914,0.835,20bg,B,
crop_0024_trinity-2_20230901T183423_DSC04593_conf0.76.jpg,trinity-2_20230901T183423_DSC04593.JPG,4239,4345,4307,4370,0.757,20bg,B,
crop_0025_trinity-2_20231006T165315_DSC04433_conf0.72.jpg,trinity-2_20231006T165315_DSC04433.JPG,7677,3967,7857,4013,0.719,20bg,O,Buoy
crop_0026_trinity-2_20231006T165315_DSC04433_conf0.69.jpg,trinity-2_20231006T165315_DSC04433.JPG,4313,1281,4338,1306,0.695,20bg,Kf,
crop_0027_trinity-2_20231006T165315_DSC04433_conf0.54.jpg,trinity-2_20231006T165315_DSC04433.JPG,4464,1105,4495,1133,0.542,20bg,Kf,
crop_0028_trinity-2_20231006T165315_DSC04433_conf0.52.jpg,trinity-2_20231006T165315_DSC04433.JPG,6443,692,6482,713,0.516,20bg,Od,
crop_0029_trinity-2_20231006T165315_DSC04461_conf0.85.jpg,trinity-2_20231006T165315_DSC04461.JPG,2210,3960,2274,4011,0.848,20bg,Kf,
crop_0030_trinity-2_20231006T165315_DSC04461_conf0.71.jpg,trinity-2_20231006T165315_DSC04461.JPG,2581,4094,2628,4154,0.711,20bg,Kf,
crop_0031_trinity-2_20231006T165315_DSC04471_conf0.68.jpg,trinity-2_20231006T165315_DSC04471.JPG,546,2097,566,2211,0.684,20bg,Kf,
crop_0032_trinity-2_20231006T165315_DSC04526_conf0.59.jpg,trinity-2_20231006T165315_DSC04526.JPG,2790,5193,2812,5214,0.594,20bg,Od,
crop_0033_trinity-2_20231006T165315_DSC04540_conf0.85.jpg,trinity-2_20231006T165315_DSC04540.JPG,1416,692,1477,721,0.853,20bg,Oc,Jelly
crop_0034_trinity-2_20231006T165315_DSC04540_conf0.53.jpg,trinity-2_20231006T165315_DSC04540.JPG,2768,4510,2789,4549,0.526,20bg,B,
crop_0035_trinity-2_20231006T165315_DSC04560_conf0.89.jpg,trinity-2_20231006T165315_DSC04560.JPG,1157,861,1268,902,0.894,20bg,Kf,
crop_0036_trinity-2_20231006T165315_DSC04560_conf0.81.jpg,trinity-2_20231006T165315_DSC04560.JPG,3277,1577,3341,1602,0.810,20bg,Oc,Jelly
crop_0037_trinity-2_20231006T165315_DSC04560_conf0.76.jpg,trinity-2_20231006T165315_DSC04560.JPG,4579,2423,4715,2689,0.758,20bg,Kf,
crop_0038_trinity-2_20231006T165315_DSC04560_conf0.70.jpg,trinity-2_20231006T165315_DSC04560.JPG,2681,3247,2716,3293,0.696,20bg,Kf,
crop_0039_trinity-2_20231006T165315_DSC04596_conf0.87.jpg,trinity-2_20231006T165315_DSC04596.JPG,1526,199,1622,272,0.875,20bg,B,
crop_0040_trinity-2_20231006T165315_DSC04614_conf0.71.jpg,trinity-2_20231006T165315_DSC04614.JPG,513,567,555,670,0.711,20bg,Kf,
crop_0041_trinity-2_20231109T191204_DSC05552_conf0.95.jpg,trinity-2_20231109T191204_DSC05552.JPG,835,490,1124,777,0.947,20bg,G,
crop_0042_trinity-2_20231109T191204_DSC05552_conf0.77.jpg,trinity-2_20231109T191204_DSC05552.JPG,835,144,1123,432,0.769,20bg,G,
crop_0043_trinity-2_20231109T191204_DSC05552_conf0.51.jpg,trinity-2_20231109T191204_DSC05552.JPG,1873,837,2161,1124,0.506,20bg,B,
crop_0044_trinity-2_20231109T191204_DSC05552_conf0.96.jpg,trinity-2_20231109T191204_DSC05552.JPG,490,490,777,777,0.957,20bg,G,
crop_0045_trinity-2_20231109T191204_DSC05552_conf0.91.jpg,trinity-2_20231109T191204_DSC05552.JPG,489,1182,778,1471,0.907,20bg,G,
crop_0046_trinity-2_20240424T162215_DSC09867_conf0.63.jpg,trinity-2_20240424T162215_DSC09867.JPG,5313,2455,5592,2815,0.634,20bg,Oc,Whale!
crop_0047_trinity-2_20240424T162215_DSC09867_conf0.61.jpg,trinity-2_20240424T162215_DSC09867.JPG,6054,2510,6112,2836,0.611,20bg,E,
crop_0048_trinity-2_20240424T162215_DSC09867_conf0.60.jpg,trinity-2_20240424T162215_DSC09867.JPG,5645,2437,5858,2581,0.605,20bg,Oc,Whale!
crop_0049_trinity-2_20240424T174720_DSC09972_conf0.72.jpg,trinity-2_20240424T174720_DSC09972.JPG,1756,4917,1781,4944,0.725,20bg,Od,
crop_0050_trinity-2_20240605T152806_NewBrighton_DSC00865_conf0.87.jpg,trinity-2_20240605T152806_NewBrighton_DSC00865.JPG,1414,665,1639,836,0.870,20bg,Oc,Shark
crop_0051_trinity-2_20240605T163415_Seacliff_DSC01365_conf0.70.jpg,trinity-2_20240605T163415_Seacliff_DSC01365.JPG,3337,693,3461,957,0.698,20bg,Oc,Shark
crop_0052_trinity-2_20240618T152524_NewBrighton_DSC00858_conf0.84.jpg,trinity-2_20240618T152524_NewBrighton_DSC00858.JPG,5471,4956,5519,5013,0.836,20bg,Kf,
crop_0053_trinity-2_20240618T152524_NewBrighton_DSC00858_conf0.78.jpg,trinity-2_20240618T152524_NewBrighton_DSC00858.JPG,5841,1946,5901,2003,0.782,20bg,Kf,
crop_0054_trinity-2_20240618T152524_NewBrighton_DSC00858_conf0.77.jpg,trinity-2_20240618T152524_NewBrighton_DSC00858.JPG,6058,1900,6094,1935,0.769,20bg,Kf,
crop_0055_trinity-2_20240618T152524_NewBrighton_DSC00858_conf0.53.jpg,trinity-2_20240618T152524_NewBrighton_DSC00858.JPG,4625,1936,4687,1952,0.527,20bg,Kf,
